issue,draw_time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
20260412118,2026-04-12 22:54:00,08,05,07,10,03,06,01,04,09,02
20260412119,2026-04-12 22:59:00,08,09,04,03,10,06,07,02,01,05
20260412120,2026-04-12 23:04:00,02,06,08,07,05,04,01,09,03,10
20260412121,2026-04-12 23:09:00,04,01,03,02,06,09,05,10,08,07
20260412122,2026-04-12 23:14:00,06,07,02,04,09,05,08,03,10,01
20260412123,2026-04-12 23:19:00,02,07,09,08,05,10,01,03,04,06
20260412124,2026-04-12 23:24:00,08,06,10,01,07,04,02,09,05,03
20260412125,2026-04-12 23:29:00,09,06,04,10,07,02,01,05,03,08
20260412126,2026-04-12 23:34:00,05,04,07,03,09,08,06,01,10,02
20260412127,2026-04-12 23:39:00,09,01,04,03,05,08,10,07,06,02
20260412128,2026-04-12 23:44:00,01,08,09,06,05,10,02,04,03,07
20260412129,2026-04-12 23:49:00,05,07,04,02,06,09,10,01,08,03
20260412130,2026-04-12 23:54:00,10,09,04,02,08,03,05,07,06,01
20260412131,2026-04-12 23:59:00,08,06,02,03,07,09,04,01,10,05
20260412132,2026-04-13 00:04:00,08,05,10,03,06,09,01,07,04,02
20260412133,2026-04-13 00:09:00,05,03,08,01,07,02,04,06,09,10
20260412134,2026-04-13 00:14:00,05,08,09,03,10,07,04,01,06,02
20260412135,2026-04-13 00:19:00,01,09,06,05,08,03,02,10,07,04
20260412136,2026-04-13 00:24:00,06,09,05,10,07,01,08,02,03,04
20260412137,2026-04-13 00:29:00,04,08,06,03,05,07,09,02,10,01
20260412138,2026-04-13 00:34:00,10,04,02,05,08,06,01,09,07,03
20260412139,2026-04-13 00:39:00,07,08,05,04,10,03,01,02,06,09
20260412140,2026-04-13 00:44:00,10,07,06,03,01,02,04,05,09,08
20260412141,2026-04-13 00:49:00,03,04,01,06,08,02,10,07,05,09
20260412142,2026-04-13 00:54:00,03,02,05,08,01,09,10,04,06,07
20260412143,2026-04-13 00:59:00,05,03,10,09,06,07,04,02,01,08
20260412144,2026-04-13 01:04:00,03,09,02,01,04,07,06,05,08,10
20260412145,2026-04-13 01:09:00,07,05,08,06,03,10,04,09,02,01
20260412146,2026-04-13 01:14:00,08,07,06,01,04,09,05,02,03,10
20260412147,2026-04-13 01:19:00,07,04,08,01,03,05,10,09,02,06
20260412148,2026-04-13 01:24:00,02,10,09,07,06,05,03,08,04,01
20260412149,2026-04-13 01:29:00,02,05,08,01,10,04,07,03,09,06
20260412150,2026-04-13 01:34:00,05,02,10,01,09,06,08,04,03,07
20260412151,2026-04-13 01:39:00,06,04,08,05,03,09,07,10,02,01
20260412152,2026-04-13 01:44:00,03,06,01,02,09,08,04,07,05,10
20260412153,2026-04-13 01:49:00,10,09,08,01,03,06,05,07,04,02
20260412154,2026-04-13 01:54:00,10,01,09,04,02,08,07,05,03,06
20260412155,2026-04-13 01:59:00,02,07,01,06,09,08,03,04,05,10
20260412156,2026-04-13 02:04:00,09,08,02,10,07,01,03,06,05,04
20260412157,2026-04-13 02:09:00,07,03,01,06,04,02,05,09,08,10
20260412158,2026-04-13 02:14:00,02,03,05,04,06,10,07,01,08,09
20260412159,2026-04-13 02:19:00,09,08,06,03,04,01,10,07,02,05
20260412160,2026-04-13 02:24:00,03,08,09,02,01,05,06,07,10,04
20260412161,2026-04-13 02:29:00,08,09,07,02,05,01,06,04,10,03
20260412162,2026-04-13 02:34:00,05,01,03,10,09,04,02,06,08,07
20260412163,2026-04-13 02:39:00,01,07,05,06,08,04,10,03,09,02
20260412164,2026-04-13 02:44:00,02,06,07,04,03,01,05,10,09,08
20260412165,2026-04-13 02:49:00,10,03,09,04,02,08,07,06,05,01
20260412166,2026-04-13 02:54:00,03,10,06,09,02,08,04,07,01,05
20260412167,2026-04-13 02:59:00,07,02,10,04,06,09,08,01,03,05
20260412168,2026-04-13 03:04:00,05,07,09,06,10,02,04,03,08,01
20260412169,2026-04-13 03:09:00,01,03,09,02,04,08,05,10,07,06
20260412170,2026-04-13 03:14:00,04,06,09,03,10,02,01,05,08,07
20260412171,2026-04-13 03:19:00,10,04,03,01,09,06,08,05,07,02
20260412172,2026-04-13 03:24:00,05,07,01,09,08,04,03,06,02,10
20260412173,2026-04-13 03:29:00,01,05,08,04,09,10,03,06,02,07
20260412174,2026-04-13 03:34:00,02,07,04,09,03,08,06,10,05,01
20260412175,2026-04-13 03:39:00,08,09,07,02,10,04,03,01,06,05
20260412176,2026-04-13 03:44:00,04,03,01,02,08,09,07,10,05,06
20260412177,2026-04-13 03:49:00,09,04,03,10,01,02,08,07,06,05
20260412178,2026-04-13 03:54:00,01,10,07,02,04,03,05,06,08,09
20260412179,2026-04-13 03:59:00,01,06,08,02,10,03,05,09,04,07
20260412180,2026-04-13 04:04:00,04,07,10,08,03,02,09,06,05,01
20260413001,2026-04-13 13:09:00,01,09,04,03,08,10,06,07,02,05
20260413002,2026-04-13 13:14:00,09,07,04,08,05,03,01,10,02,06
20260413003,2026-04-13 13:19:00,07,01,04,06,08,03,10,09,05,02
20260413004,2026-04-13 13:24:00,02,03,05,09,06,08,04,10,01,07
20260413005,2026-04-13 13:29:00,10,04,06,05,01,08,02,03,07,09
20260413006,2026-04-13 13:34:00,09,08,04,03,02,07,05,06,01,10
20260413007,2026-04-13 13:39:00,01,04,08,05,03,06,07,02,09,10
20260413008,2026-04-13 13:44:00,05,01,02,03,06,08,10,07,04,09
20260413009,2026-04-13 13:49:00,06,05,10,08,01,09,03,02,04,07
20260413010,2026-04-13 13:54:00,07,09,04,02,06,10,01,08,05,03
20260413011,2026-04-13 13:59:00,07,09,03,05,01,06,04,08,10,02
20260413012,2026-04-13 14:04:00,08,06,05,04,10,03,02,09,07,01
20260413013,2026-04-13 14:09:00,08,05,03,02,10,07,04,09,06,01
20260413014,2026-04-13 14:14:00,05,04,07,06,02,10,01,09,08,03
20260413015,2026-04-13 14:19:00,10,03,05,08,01,02,09,07,06,04
20260413016,2026-04-13 14:24:00,02,07,01,08,10,06,04,05,03,09
20260413017,2026-04-13 14:29:00,06,07,02,03,05,01,10,08,04,09
20260413018,2026-04-13 14:34:00,08,06,09,04,05,03,10,02,07,01
20260413019,2026-04-13 14:39:00,07,10,04,02,01,06,03,05,08,09
20260413020,2026-04-13 14:44:00,06,09,08,01,07,04,02,05,10,03
20260413021,2026-04-13 14:49:00,09,08,05,02,10,03,07,06,04,01
20260413022,2026-04-13 14:54:00,07,09,04,06,10,02,03,05,08,01
20260413023,2026-04-13 14:59:00,10,04,09,03,06,01,05,08,07,02
20260413024,2026-04-13 15:04:00,10,05,06,07,03,04,09,01,08,02
20260413025,2026-04-13 15:09:00,05,03,09,01,06,04,02,10,07,08
20260413026,2026-04-13 15:14:00,01,10,04,08,03,07,06,09,05,02
20260413027,2026-04-13 15:19:00,06,03,09,07,10,01,04,02,05,08
20260413028,2026-04-13 15:24:00,01,03,09,08,02,07,04,10,05,06
20260413029,2026-04-13 15:29:00,04,10,09,06,05,03,07,01,02,08
20260413030,2026-04-13 15:34:00,02,05,04,08,09,07,06,10,03,01
20260413031,2026-04-13 15:39:00,07,03,05,09,02,08,04,10,06,01
20260413032,2026-04-13 15:44:00,10,07,03,02,05,06,01,08,09,04
20260413033,2026-04-13 15:49:00,05,10,04,02,01,08,09,03,07,06
20260413034,2026-04-13 15:54:00,07,10,05,04,08,06,03,02,09,01
20260413035,2026-04-13 15:59:00,07,03,04,02,01,05,09,06,08,10
20260413036,2026-04-13 16:04:00,05,01,07,08,09,10,03,02,04,06
20260413037,2026-04-13 16:09:00,09,07,01,02,03,10,05,08,06,04
20260413038,2026-04-13 16:14:00,10,07,01,03,08,02,04,06,05,09
20260413039,2026-04-13 16:19:00,09,10,07,08,01,03,02,05,04,06
20260413040,2026-04-13 16:24:00,05,10,03,06,08,09,01,04,07,02
20260413041,2026-04-13 16:29:00,07,04,08,03,06,10,01,02,09,05
20260413042,2026-04-13 16:34:00,06,03,10,09,01,05,02,04,07,08
20260413043,2026-04-13 16:39:00,10,08,01,04,09,05,02,03,06,07
20260413044,2026-04-13 16:44:00,06,05,10,04,07,08,01,02,09,03
20260413045,2026-04-13 16:49:00,03,04,02,06,08,01,09,10,07,05
20260413046,2026-04-13 16:54:00,04,03,09,10,06,07,08,05,02,01
20260413047,2026-04-13 16:59:00,04,09,03,08,05,07,06,02,01,10
20260413048,2026-04-13 17:04:00,09,02,10,01,03,08,06,07,04,05
20260413049,2026-04-13 17:09:00,07,06,04,02,10,03,08,09,01,05
20260413050,2026-04-13 17:14:00,02,03,07,04,05,10,06,01,09,08
20260413051,2026-04-13 17:19:00,05,10,03,06,07,09,01,08,04,02
20260413052,2026-04-13 17:24:00,01,04,10,03,06,07,09,08,05,02
20260413053,2026-04-13 17:29:00,02,10,01,08,09,03,07,05,06,04
20260413054,2026-04-13 17:34:00,02,04,05,06,03,07,01,08,10,09
20260413055,2026-04-13 17:39:00,10,01,08,06,09,04,05,02,07,03
20260413056,2026-04-13 17:44:00,07,09,06,03,02,01,10,04,05,08
20260413057,2026-04-13 17:49:00,01,03,09,02,04,10,08,05,07,06
20260413058,2026-04-13 17:54:00,04,03,01,07,10,08,09,05,06,02
20260413059,2026-04-13 17:59:00,04,03,01,08,09,10,02,05,06,07
20260413060,2026-04-13 18:04:00,05,06,07,01,03,08,02,04,10,09
20260413061,2026-04-13 18:09:00,05,03,08,02,10,01,09,07,04,06
20260413062,2026-04-13 18:14:00,01,04,05,02,03,06,09,10,07,08
20260413063,2026-04-13 18:19:00,07,06,09,08,02,10,01,03,04,05
20260413064,2026-04-13 18:24:00,10,08,01,05,06,03,07,02,09,04
20260413065,2026-04-13 18:29:00,06,07,04,09,05,02,10,01,03,08
20260413066,2026-04-13 18:34:00,06,01,03,04,08,09,10,02,07,05
20260413067,2026-04-13 18:39:00,07,02,04,09,10,05,06,08,03,01
20260413068,2026-04-13 18:44:00,04,08,03,09,05,01,10,06,07,02
20260413069,2026-04-13 18:49:00,06,09,08,04,07,03,10,01,05,02
20260413070,2026-04-13 18:54:00,05,10,02,01,06,09,03,08,04,07
20260413071,2026-04-13 18:59:00,08,06,07,03,04,10,09,01,05,02
20260413072,2026-04-13 19:04:00,05,06,09,01,08,10,03,07,04,02
20260413073,2026-04-13 19:09:00,03,06,04,02,09,08,05,10,07,01
20260413074,2026-04-13 19:14:00,06,01,09,10,05,08,07,02,03,04
20260413075,2026-04-13 19:19:00,05,07,08,01,03,02,09,10,06,04
20260413076,2026-04-13 19:24:00,06,10,08,07,01,02,09,05,03,04
20260413077,2026-04-13 19:29:00,10,09,02,03,07,04,08,01,05,06
20260413078,2026-04-13 19:34:00,05,08,04,02,06,10,09,07,03,01
20260413079,2026-04-13 19:39:00,04,01,09,06,10,02,03,08,07,05
20260413080,2026-04-13 19:44:00,08,01,10,02,05,07,06,04,03,09
20260413081,2026-04-13 19:49:00,01,05,08,04,07,09,06,10,02,03
20260413082,2026-04-13 19:54:00,03,04,09,01,06,02,08,10,07,05
20260413083,2026-04-13 19:59:00,03,02,01,07,10,06,05,04,09,08
20260413084,2026-04-13 20:04:00,07,10,02,09,06,01,08,04,05,03
20260413085,2026-04-13 20:09:00,03,04,02,01,06,05,08,09,07,10
20260413086,2026-04-13 20:14:00,03,02,06,04,01,08,10,09,05,07
20260413087,2026-04-13 20:19:00,03,01,10,04,06,08,07,09,05,02
20260413088,2026-04-13 20:24:00,09,05,08,01,03,06,02,07,10,04
20260413089,2026-04-13 20:29:00,06,05,07,09,04,03,02,10,08,01
20260413090,2026-04-13 20:34:00,05,02,04,10,08,07,01,09,06,03
20260413091,2026-04-13 20:39:00,07,08,03,01,04,06,05,10,09,02
20260413092,2026-04-13 20:44:00,09,06,08,10,02,04,07,03,05,01
20260413093,2026-04-13 20:49:00,04,07,03,05,09,01,06,02,08,10
20260413094,2026-04-13 20:54:00,05,09,10,06,03,08,02,07,01,04
20260413095,2026-04-13 20:59:00,05,09,06,07,04,02,01,10,08,03
20260413096,2026-04-13 21:04:00,07,09,10,01,03,02,05,06,08,04
20260413097,2026-04-13 21:09:00,02,08,05,01,07,10,09,03,04,06
20260413098,2026-04-13 21:14:00,06,07,09,05,01,08,10,02,04,03
20260413099,2026-04-13 21:19:00,01,06,09,07,02,10,04,05,03,08
20260413100,2026-04-13 21:24:00,03,10,06,02,07,08,01,04,05,09
20260413101,2026-04-13 21:29:00,06,02,08,09,01,05,07,04,03,10
20260413102,2026-04-13 21:34:00,09,03,08,01,02,06,05,04,10,07
20260413103,2026-04-13 21:39:00,06,05,10,01,09,08,03,07,02,04
20260413104,2026-04-13 21:44:00,02,10,04,03,07,08,05,09,01,06
20260413105,2026-04-13 21:49:00,05,03,01,02,06,10,04,07,09,08
20260413106,2026-04-13 21:54:00,03,04,06,01,05,02,10,09,08,07
20260413107,2026-04-13 21:59:00,08,03,09,05,02,06,04,01,10,07
20260413108,2026-04-13 22:04:00,05,06,10,01,09,04,07,03,08,02
20260413109,2026-04-13 22:09:00,01,08,06,05,04,03,02,10,07,09
20260413110,2026-04-13 22:14:00,04,07,08,06,09,05,10,02,03,01
20260413111,2026-04-13 22:19:00,04,03,10,06,05,09,01,02,08,07
20260413112,2026-04-13 22:24:00,05,02,10,08,01,07,06,03,09,04
20260413113,2026-04-13 22:29:00,02,07,03,01,04,05,06,08,10,09
20260413114,2026-04-13 22:34:00,03,09,10,06,04,05,01,07,02,08
20260413115,2026-04-13 22:39:00,01,03,07,09,10,05,04,02,06,08
20260413116,2026-04-13 22:44:00,06,05,07,03,08,10,02,01,04,09
20260413117,2026-04-13 22:49:00,02,09,05,04,06,01,08,07,10,03
20260413118,2026-04-13 22:54:00,02,10,04,07,01,03,08,09,06,05
20260413119,2026-04-13 22:59:00,04,01,07,05,02,08,06,03,09,10
20260413120,2026-04-13 23:04:00,09,02,04,06,07,03,08,05,10,01
20260413121,2026-04-13 23:09:00,08,01,10,06,03,04,02,09,07,05
20260413122,2026-04-13 23:14:00,05,10,09,06,02,07,01,04,03,08
20260413123,2026-04-13 23:19:00,08,02,04,10,09,03,05,06,07,01
20260413124,2026-04-13 23:24:00,06,10,02,08,01,04,07,05,09,03
20260413125,2026-04-13 23:29:00,02,09,06,07,05,04,08,03,01,10
20260413126,2026-04-13 23:34:00,05,07,04,10,06,08,09,03,01,02
20260413127,2026-04-13 23:39:00,05,06,01,07,04,09,10,08,02,03
20260413128,2026-04-13 23:44:00,02,08,01,03,10,09,06,07,04,05
20260413129,2026-04-13 23:49:00,03,10,02,09,05,06,08,07,01,04
20260413130,2026-04-13 23:54:00,05,09,01,08,02,07,04,06,10,03
20260413131,2026-04-13 23:59:00,04,01,07,06,10,05,03,08,09,02
20260413132,2026-04-14 00:04:00,04,10,01,03,05,02,09,07,06,08
20260413133,2026-04-14 00:09:00,09,02,05,03,06,04,10,01,07,08
20260413134,2026-04-14 00:14:00,05,10,07,08,02,09,04,06,01,03
20260413135,2026-04-14 00:19:00,07,08,02,05,09,04,01,06,10,03
20260413136,2026-04-14 00:24:00,03,07,05,06,08,10,01,04,02,09
20260413137,2026-04-14 00:29:00,02,01,09,04,05,10,07,08,06,03
20260413138,2026-04-14 00:34:00,09,07,08,04,10,05,02,06,03,01
20260413139,2026-04-14 00:39:00,07,08,05,01,02,09,03,10,04,06
20260413140,2026-04-14 00:44:00,04,01,10,05,08,03,02,09,07,06
20260413141,2026-04-14 00:49:00,05,08,04,02,01,09,03,10,07,06
20260413142,2026-04-14 00:54:00,09,03,02,01,08,06,05,10,07,04
20260413143,2026-04-14 00:59:00,02,03,05,10,06,04,07,01,09,08
20260413144,2026-04-14 01:04:00,08,05,02,10,04,06,03,01,09,07
20260413145,2026-04-14 01:09:00,04,05,03,02,09,01,06,10,08,07
20260413146,2026-04-14 01:14:00,06,03,02,09,04,05,08,10,07,01
20260413147,2026-04-14 01:19:00,07,03,09,06,05,04,10,02,01,08
20260413148,2026-04-14 01:24:00,08,07,01,09,02,10,04,03,05,06
20260413149,2026-04-14 01:29:00,06,02,08,09,07,03,04,10,01,05
20260413150,2026-04-14 01:34:00,04,01,10,07,09,08,02,03,06,05
20260413151,2026-04-14 01:39:00,10,07,09,02,05,04,03,01,06,08
20260413152,2026-04-14 01:44:00,05,08,02,07,09,01,04,10,06,03
20260413153,2026-04-14 01:49:00,04,09,08,06,10,03,05,01,02,07
20260413154,2026-04-14 01:54:00,04,10,05,01,03,07,06,02,08,09
20260413155,2026-04-14 01:59:00,08,05,01,06,07,10,03,02,04,09
20260413156,2026-04-14 02:04:00,05,10,07,03,06,08,09,01,02,04
20260413157,2026-04-14 02:09:00,08,10,02,05,03,06,01,07,04,09
20260413158,2026-04-14 02:14:00,03,10,05,08,06,04,09,02,01,07
20260413159,2026-04-14 02:19:00,06,04,10,08,07,02,01,05,03,09
20260413160,2026-04-14 02:24:00,09,04,10,06,05,01,02,07,03,08
20260413161,2026-04-14 02:29:00,07,10,03,09,05,04,02,01,06,08
20260413162,2026-04-14 02:34:00,05,02,08,03,07,04,06,01,09,10
20260413163,2026-04-14 02:39:00,08,09,05,04,03,01,02,10,06,07
20260413164,2026-04-14 02:44:00,02,07,03,10,09,04,08,01,06,05
20260413165,2026-04-14 02:49:00,07,04,06,03,05,02,09,08,10,01
20260413166,2026-04-14 02:54:00,05,04,06,07,03,02,08,01,09,10
20260413167,2026-04-14 02:59:00,10,02,07,08,01,06,05,04,03,09
20260413168,2026-04-14 03:04:00,10,06,04,07,08,03,01,05,09,02
20260413169,2026-04-14 03:09:00,09,03,10,08,05,04,07,06,02,01
20260413170,2026-04-14 03:14:00,10,08,04,09,02,03,07,05,01,06
20260413171,2026-04-14 03:19:00,01,10,05,06,07,03,04,09,08,02
20260413172,2026-04-14 03:24:00,05,09,10,04,01,03,02,08,06,07
20260413173,2026-04-14 03:29:00,07,01,04,02,06,10,03,08,05,09
20260413174,2026-04-14 03:34:00,07,01,08,04,09,06,02,05,10,03
20260413175,2026-04-14 03:39:00,10,06,08,01,07,09,03,02,05,04
20260413176,2026-04-14 03:44:00,05,10,01,08,06,09,07,03,02,04
20260413177,2026-04-14 03:49:00,09,05,08,01,03,10,07,06,04,02
20260413178,2026-04-14 03:54:00,02,04,06,08,10,03,05,09,01,07
20260413179,2026-04-14 03:59:00,10,06,05,04,09,01,03,08,02,07
20260413180,2026-04-14 04:04:00,01,03,04,05,07,02,06,10,08,09
20260414001,2026-04-14 13:09:00,01,07,09,04,05,03,06,02,08,10
20260414002,2026-04-14 13:14:00,01,08,10,07,09,03,05,02,04,06
20260414003,2026-04-14 13:19:00,01,05,04,08,06,03,10,09,07,02
20260414004,2026-04-14 13:24:00,08,03,10,01,05,04,06,09,07,02
20260414005,2026-04-14 13:29:00,05,06,03,09,01,08,07,02,10,04
20260414006,2026-04-14 13:34:00,09,01,03,07,04,06,02,10,05,08
